lambda,seed_index,pre_final_phase,post_phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,bridges_added_total,stable_edge_count,stable_topology
0.02,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.23285930671679356,1.883329584752525e-18,0,True,True
0.02,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.4781195114194039,0.0,0,True,True
0.02,2,sparse_geometric,sparse_geometric,6,1,6,4,0.3775106273324363,0.25772629451583506,0.0025704097047954282,0,True,True
0.02,3,fragmented_sparse,fragmented_sparse,5,2,5,,0.37611072696992626,0.025846086393000615,3.018686440162492e-17,0,True,True
0.02,4,fragmented_sparse,fragmented_sparse,7,2,5,,0.8997567527804602,0.5078518406928455,2.2142483107520664e-17,0,False,True
0.02,5,fragmented_sparse,fragmented_sparse,5,2,5,,0.31698181598320785,-0.0332776143493143,3.2271019619869075e-17,0,True,True
0.02,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,0.1343421879926614,0.0032643976162400018,0,True,True
0.02,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.24546624665602265,7.236879102112993e-20,0,True,True
0.02,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,0.13873925901600934,0.005355507576292297,0,True,True
0.02,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9388438746316006,0.0,0,True,True
0.02,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,0.17292951458362885,0.005902441329957561,0,True,True
0.02,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,0.18914806373651924,0.009641870251986796,0,True,True
0.02,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.2510696809842418,2.0381243706661363e-18,0,True,True
0.02,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.5294380939514512,0.0,0,True,True
0.02,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.36341587146704896,0.0,0,True,True
0.02,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,0.09902216320485474,0.013580734939368,0,True,True
0.02,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.48903614059761885,-2.8817442878222405e-50,0,True,True
0.02,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,0.1971734713447142,0.007919566808085983,0,True,True
0.02,18,sparse_geometric,sparse_geometric,7,1,6,3,0.7680677310752446,0.6287352068823555,0.01120132806723751,0,True,True
0.02,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,0.08143662531805566,0.00038532666243887927,0,True,True
0.04,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.3128593067167936,1.883329584752525e-18,0,True,True
0.04,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.5381195114194038,0.0,0,True,True
0.04,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,0.10543139153604018,0.0012185410029949355,0,True,True
0.04,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.07278049980661795,1.7307624935867026e-17,0,True,True
0.04,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,0.12037382082029342,6.610871254366662e-17,0,True,True
0.04,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.2062531633084151,0.0,0,True,True
0.04,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,0.03434218799266141,0.0032643976162400018,0,True,True
0.04,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.3254662466560227,7.236879102112993e-20,0,True,True
0.04,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,0.03873925901600933,0.005355507576292297,0,True,True
0.04,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9588438746316006,0.0,0,True,True
0.04,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,0.07292951458362885,0.005902441329957561,0,True,True
0.04,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,0.08914806373651923,0.009641870251986796,0,True,True
0.04,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.33106968098424183,2.0381243706661363e-18,0,True,True
0.04,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.5894380939514512,0.0,0,True,True
0.04,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.42341587146704895,0.0,0,True,True
0.04,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.000977836795145261,0.013580734939368,0,True,True
0.04,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.5490361405976187,-2.8817442878222405e-50,0,True,True
0.04,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,0.09717347134471419,0.007919566808085983,0,True,True
0.04,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,0.33812559383686014,0.011279307518488414,0,True,True
0.04,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.01856337468194434,0.00038532666243887927,0,True,True
0.06,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.39285930671679353,1.883329584752525e-18,0,True,True
0.06,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.5981195114194039,0.0,0,True,True
0.06,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,0.005431391536040203,0.0012185410029949355,0,True,True
0.06,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.15278049980661795,1.7307624935867026e-17,0,True,True
0.06,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,0.040373820820293456,6.610871254366662e-17,0,True,True
0.06,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.2862531633084151,0.0,0,True,True
0.06,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.06565781200733857,0.0032643976162400018,0,True,True
0.06,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.40546624665602266,7.236879102112993e-20,0,True,True
0.06,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.06126074098399065,0.005355507576292297,0,True,True
0.06,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9788438746316006,0.0,0,True,True
0.06,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.027070485416371123,0.005902441329957561,0,True,True
0.06,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.010851936263480744,0.009641870251986796,0,True,True
0.06,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.4110696809842418,2.0381243706661363e-18,0,True,True
0.06,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.6494380939514512,0.0,0,True,True
0.06,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.48341587146704895,0.0,0,True,True
0.06,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.10097783679514524,0.013580734939368,0,True,True
0.06,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.6090361405976188,-2.8817442878222405e-50,0,True,True
0.06,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.0028265286552858044,0.007919566808085983,0,True,True
0.06,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,0.23812559383686016,0.011279307518488414,0,True,True
0.06,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.11856337468194432,0.00038532666243887927,0,True,True
0.08,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.47285930671679355,1.883329584752525e-18,0,True,True
0.08,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.658119511419404,0.0,0,True,True
0.08,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.09456860846395983,0.0012185410029949355,0,True,True
0.08,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.23278049980661797,1.7307624935867026e-17,0,True,True
0.08,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.03962617917970656,6.610871254366662e-17,0,True,True
0.08,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.3662531633084151,0.0,0,True,True
0.08,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.16565781200733862,0.0032643976162400018,0,True,True
0.08,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.48546624665602267,7.236879102112993e-20,0,True,True
0.08,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.16126074098399068,0.005355507576292297,0,True,True
0.08,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9988438746316006,0.0,0,True,True
0.08,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.12707048541637117,0.005902441329957561,0,True,True
0.08,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.11085193626348078,0.009641870251986796,0,True,True
0.08,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.4910696809842418,2.0381243706661363e-18,0,True,True
0.08,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.7094380939514512,0.0,0,True,True
0.08,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.543415871467049,0.0,0,True,True
0.08,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.20097783679514528,0.013580734939368,0,True,True
0.08,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.6690361405976187,-2.8817442878222405e-50,0,True,True
0.08,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.10282652865528583,0.007919566808085983,0,True,True
0.08,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,0.13812559383686013,0.011279307518488414,0,True,True
0.08,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.21856337468194434,0.00038532666243887927,0,True,True
0.1,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.5528593067167935,1.883329584752525e-18,0,True,True
0.1,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.718119511419404,0.0,0,True,True
0.1,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.19456860846395982,0.0012185410029949355,0,True,True
0.1,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.312780499806618,1.7307624935867026e-17,0,True,True
0.1,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.11962617917970657,6.610871254366662e-17,0,True,True
0.1,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.44625316330841514,0.0,0,True,True
0.1,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.26565781200733857,0.0032643976162400018,0,True,True
0.1,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.5654662466560226,7.236879102112993e-20,0,True,True
0.1,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.26126074098399066,0.005355507576292297,0,True,True
0.1,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-1.0188438746316006,0.0,0,True,True
0.1,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.22707048541637115,0.005902441329957561,0,True,True
0.1,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.21085193626348075,0.009641870251986796,0,True,True
0.1,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.5710696809842418,2.0381243706661363e-18,0,True,True
0.1,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.7694380939514512,0.0,0,True,True
0.1,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.603415871467049,0.0,0,True,True
0.1,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.3009778367951452,0.013580734939368,0,True,True
0.1,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.7290361405976188,-2.8817442878222405e-50,0,True,True
0.1,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.2028265286552858,0.007919566808085983,0,True,True
0.1,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,0.03812559383686015,0.011279307518488414,0,True,True
0.1,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.31856337468194434,0.00038532666243887927,0,True,True
0.12,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.6328593067167935,1.883329584752525e-18,0,True,True
0.12,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.7781195114194038,0.0,0,True,True
0.12,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.29456860846395977,0.0012185410029949355,0,True,True
0.12,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.39278049980661794,1.7307624935867026e-17,0,True,True
0.12,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.19962617917970654,6.610871254366662e-17,0,True,True
0.12,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.5262531633084151,0.0,0,True,True
0.12,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.36565781200733855,0.0032643976162400018,0,True,True
0.12,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.6454662466560226,7.236879102112993e-20,0,True,True
0.12,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.36126074098399064,0.005355507576292297,0,True,True
0.12,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-1.0388438746316007,0.0,0,True,True
0.12,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.32707048541637107,0.005902441329957561,0,True,True
0.12,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.31085193626348073,0.009641870251986796,0,True,True
0.12,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.6510696809842418,2.0381243706661363e-18,0,True,True
0.12,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.8294380939514512,0.0,0,True,True
0.12,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.663415871467049,0.0,0,True,True
0.12,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.4009778367951452,0.013580734939368,0,True,True
0.12,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.7890361405976187,-2.8817442878222405e-50,0,True,True
0.12,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.3028265286552858,0.007919566808085983,0,True,True
0.12,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,-0.06187440616313983,0.011279307518488414,0,True,True
0.12,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.4185633746819443,0.00038532666243887927,0,True,True
0.16,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.7928593067167935,1.883329584752525e-18,0,True,True
0.16,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.8981195114194039,0.0,0,True,True
0.16,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.49456860846395984,0.0012185410029949355,0,True,True
0.16,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.5527804998066179,1.7307624935867026e-17,0,True,True
0.16,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.3596261791797066,6.610871254366662e-17,0,True,True
0.16,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.686253163308415,0.0,0,True,True
0.16,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.5656578120073386,0.0032643976162400018,0,True,True
0.16,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.8054662466560226,7.236879102112993e-20,0,True,True
0.16,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.5612607409839907,0.005355507576292297,0,True,True
0.16,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-1.0788438746316007,0.0,0,True,True
0.16,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.5270704854163712,0.005902441329957561,0,True,True
0.16,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.5108519362634808,0.009641870251986796,0,True,True
0.16,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.8110696809842418,2.0381243706661363e-18,0,True,True
0.16,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.9494380939514512,0.0,0,True,True
0.16,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.7834158714670489,0.0,0,True,True
0.16,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.6009778367951454,0.013580734939368,0,True,True
0.16,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.9090361405976187,-2.8817442878222405e-50,0,True,True
0.16,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.5028265286552859,0.007919566808085983,0,True,True
0.16,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,-0.2618744061631399,0.011279307518488414,0,True,True
0.16,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.6185633746819444,0.00038532666243887927,0,True,True
0.2,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.9528593067167935,1.883329584752525e-18,0,True,True
0.2,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-1.0181195114194042,0.0,0,True,True
0.2,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.6945686084639597,0.0012185410029949355,0,True,True
0.2,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.712780499806618,1.7307624935867026e-17,0,True,True
0.2,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.5196261791797067,6.610871254366662e-17,0,True,True
0.2,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.8462531633084152,0.0,0,True,True
0.2,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.7656578120073385,0.0032643976162400018,0,True,True
0.2,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.9654662466560227,7.236879102112993e-20,0,True,True
0.2,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.7612607409839907,0.005355507576292297,0,True,True
0.2,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-1.1188438746316007,0.0,0,True,True
0.2,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.7270704854163712,0.005902441329957561,0,True,True
0.2,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.7108519362634808,0.009641870251986796,0,True,True
0.2,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.9710696809842418,2.0381243706661363e-18,0,True,True
0.2,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-1.0694380939514512,0.0,0,True,True
0.2,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.903415871467049,0.0,0,True,True
0.2,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.8009778367951453,0.013580734939368,0,True,True
0.2,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-1.0290361405976187,-2.8817442878222405e-50,0,True,True
0.2,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.7028265286552858,0.007919566808085983,0,True,True
0.2,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,-0.46187440616313985,0.011279307518488414,0,True,True
0.2,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.8185633746819444,0.00038532666243887927,0,True,True
